customer_id,review_body
28448,"J'ai fait l'erreur d'acheter ce calendrier pour une petite fille de 3 ans. Elle n'a pas du tout été intéressée, les objets sont très très petits, et les explications de montage très peu explicites,  nous avons donc tout rangé pour lui redonner dans 2, 3 ans.<br />Mais pour des fillettes plus âgées qui ont déjà des legos celà doit compléter des séries."
28465,"Je n'ai pas encore vu ce film, cependant j'adooore les films des frères Cohen, on est rarement déçu et celui-ci avait une bonne critique."
28465,"Très, très bien.C'est excellent. Il y a de l'humour, de l'action, tout ce qu'il faut. Il faut dire que je suis &#34;fan&#34; des films des frères Coen,&#34;Blood Simple&#34;, No Country For Old Men&#34;, &#34;O'Brother&#34; , True Grit etc C'est parfait."
28557,Un 007 moins impressionnant mais qui fait son effet<br />Il reste néanmoins le moins bien des 3 Jales Bond avec Craig !
28692,"Le meilleur de la série pour l'instant. Le lire en anglais est également une nouveauté pour moi, tant au niveau du prix que de la justesse des termes."
28700,"J'ai regardé les épisodes sur trois soirées, pressée d'allumer mon écran pour pour poursuivre avec les acteurs, absolument excellents, cette histoire glauque mais envoûtante. Une série d'une qualité rare où tout est à la hauteur : la bande son, la photo, les dialogues, le jeu des acteurs qui sont tous deux au sommet de leur art. Un évènement à ne surtout pas rater que vous pouvez acheter les yeux fermés : magnifique !!!"
28767,"J'aime l'indication de la charge restante, même avec une variable &#34;temps&#34; qui n'est pas représentative du nombre des clichés possibles."
29019,"Comme signalé en chapeau, c'est du Michael Connelly pur jus ! Toujours alerte, bien écrit, bien construit et vous maintenant en \\""suspense\\"".  Un regret : la fin. Un peu en \\""queue de poisson\\"", en pirouette. Un peu hâtive, comme si l'auteur voulait signifier... qu'il y avait/aurait une suite ?  Nous verrons..."
29042,"Certes différent de ce qu'ils ont fait avant cet album est quand même l'un des meilleurs à mon gout, et le mélange un peu électro donne une certaine fraicheur à leurs chansons"
29814,"vraiment super application, celle qui me sert tous les jours, a prendre les yeux fermer...<br />sa a reconnu tous ce que je lui ai fait ecouter"